,Player,Game ID,Birds,Bonus cards,End-of-round goals,Eggs,Food on cards,Tucked cards,Nectar,Total,Expansion
476,Dennis,147,35,7,12.0,8,4,4.0,0.0,70.0,Asia
477,Danette,147,26,3,15.0,12,2,9.0,0.0,67.0,Asia
478,Dennis,148,24,7,10.0,12,0,10.0,0.0,63.0,Asia
479,Danette,148,27,3,12.0,2,0,17.0,0.0,61.0,Asia
480,Dennis,149,40,0,12.0,24,0,5.0,0.0,81.0,Asia
481,Danette,149,40,10,13.0,3,3,6.0,0.0,75.0,Asia
482,Robena,150,34,17,6.67,21,3,9.0,0.0,90.67,Asia
483,Felton,150,45,23,3.0,14,0,6.0,0.0,91.0,Asia
484,Danette,150,40,10,10.17,6,11,0.0,0.0,77.17,Asia
485,Dennis,150,35,15,18.17,11,4,11.0,0.0,94.17,Asia
486,Dennis,151,31,6,15.0,7,0,10.0,0.0,69.0,Asia
487,Danette,151,46,9,9.0,2,1,0.0,0.0,67.0,Asia
488,Dennis,152,42,9,10.0,27,0,11.0,0.0,99.0,Asia
489,Danette,152,29,6,13.5,19,2,12.0,0.0,81.5,Asia
490,Felton,152,21,4,10.5,30,1,17.0,0.0,83.5,Asia
491,Robena,152,37,10,4.0,23,5,4.0,0.0,83.0,Asia
492,Dennis,153,35,8,14.0,14,1,7.0,0.0,79.0,Asia
493,Danette,153,37,4,17.5,6,2,4.0,0.0,70.5,Asia
494,Marion,154,47,3,2.7,16,7,11.0,0.0,86.7,Asia
495,Dennis,154,38,7,0.2,30,0,0.0,0.0,75.2,Asia
496,Robena,154,35,20,0.2,11,8,7.0,0.0,81.2,Asia
497,Danette,154,38,19,11.0,17,0,1.0,0.0,86.0,Asia
498,Felton,154,28,6,9.2,33,0,0.0,0.0,76.2,Asia
499,Bonita,154,48,14,13.7,22,4,15.0,0.0,116.7,Asia
